timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,"UserId"
1622138829204,432,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,1,1,null,0,49,349,5136
1622138829252,432,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,1,1,https://gorest.co.in/public-api/users/5136,430,0,349,5136
1622138829686,97,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,1,1,null,0,0,0,5137
1622138829686,97,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,1,1,https://gorest.co.in/public-api/users/5137,97,0,0,5137
1622138829783,81,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,1,1,null,0,0,0,5138
1622138829783,81,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,1,1,https://gorest.co.in/public-api/users/5138,81,0,0,5138
1622138829864,86,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,1,1,null,0,0,0,5139
1622138829864,86,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,1,1,https://gorest.co.in/public-api/users/5139,86,0,0,5139
1622138829951,79,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,1,1,null,0,1,0,5140
1622138829951,79,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,1,1,https://gorest.co.in/public-api/users/5140,79,0,0,5140
1622138830032,80,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,1,1,null,0,1,0,5141
1622138830033,80,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,1,1,https://gorest.co.in/public-api/users/5141,80,0,0,5141
1622138830114,79,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,1,1,null,0,0,0,5142
1622138830114,79,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,1,1,https://gorest.co.in/public-api/users/5142,78,0,0,5142
1622138830194,79,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,2,2,null,0,0,0,5143
1622138830194,79,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5143,79,0,0,5143
1622138830274,96,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,2,2,null,0,0,0,5145
1622138830274,96,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5145,96,0,0,5145
1622138830371,77,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,2,2,null,0,0,0,5146
1622138830371,77,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5146,77,0,0,5146
1622138830204,303,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,2,2,null,0,4,203,5144
1622138830207,303,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5144,303,0,203,5144
1622138830449,135,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,2,2,null,0,0,0,5147
1622138830449,135,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5147,134,0,0,5147
1622138830511,131,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,2,2,null,0,0,0,5148
1622138830511,131,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5148,131,0,0,5148
1622138830584,139,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,2,2,null,0,0,0,5149
1622138830584,139,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5149,139,0,0,5149
1622138830643,136,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,2,2,null,0,1,0,5150
1622138830644,136,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5150,136,0,0,5150
1622138830724,124,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,2,2,null,0,0,0,5151
1622138830724,124,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5151,124,0,0,5151
1622138830780,132,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,2,2,null,0,0,0,5152
1622138830780,132,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5152,132,0,0,5152
1622138830849,135,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,2,2,null,0,0,0,5153
1622138830849,135,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5153,135,0,0,5153
1622138830912,132,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,2,2,null,0,0,0,5154
1622138830912,132,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5154,132,0,0,5154
